,genre_spotify,genre_study,user_persona
0,pop,pop,A bubbly soda on a summer day
1,rap,rap/hip hop,A pair of confident kicks strutting down main street
2,r&b,rap/hip hop,A pair of confident kicks strutting down main street
3,country,country,A smokey mashmellows on crackling campfire
4,rock,rock/metal,A freshly sprayed graffiti in a narrow alleyway
5,metal,rock/metal,A freshly sprayed graffiti in a narrow alleyway
6,indie,indie,A hot cappuccino on a late fall day
7,dance,dance/electronic,A freshly cracked coconut on a tropical island
8,edm,dance/electronic,A freshly cracked coconut on a tropical island
9,electronic,dance/electronic,A freshly cracked coconut on a tropical island
10,house,dance/electronic,A freshly cracked coconut on a tropical island
11,classical,classical,A salty beach on a low tide
12,jazz,jazz/blues/soul,The organized chaos of a Jackson Pollock
13,blues,jazz/blues/soul,The organized chaos of a Jackson Pollock
14,soul,jazz/blues/soul,The organized chaos of a Jackson Pollock
